id,scientific_name,latitude,longitude,year,month,day
20244403,Physcomitrium pyriforme,32.96631667,-80.0438,2019,2,9
20264274,Physcomitrium pyriforme,31.88198471,-86.98551941,2019,2,10
20272390,Physcomitrium pyriforme,32.399225,-91.99469167,2019,2,9
20277533,Physcomitrium pyriforme,29.8985628,-95.45762807,2019,2,5
20289223,Physcomitrium pyriforme,31.8760643,-86.08058167,2019,2,11
20310729,Physcomitrium pyriforme,33.47119451,-94.07449638,2019,2,12
20323064,Physcomitrium pyriforme,33.22306167,-95.91470333,2019,2,13
20326544,Physcomitrium pyriforme,35.82107167,-79.08711117,2019,2,13
20329978,Physcomitrium pyriforme,35.2958286,-93.13681606,2019,2,13
20345542,Physcomitrium pyriforme,31.98450087,-86.5786682,2019,2,14
20349998,Physcomitrium pyriforme,32.42025333,-81.78987167,2019,2,14
20364448,Physcomitrium pyriforme,33.47732544,-94.07345581,2019,2,15
20376878,Physcomitrium pyriforme,31.59635333,-89.20003667,2019,2,14
20391313,Physcomitrium pyriforme,29.27520943,-95.96208191,2019,2,16
20472572,Physcomitrium pyriforme,33.51939119,-80.88086318,2019,2,18
20490450,Physcomitrium pyriforme,33.84940197,-86.56556748,2019,2,13
20518286,Physcomitrium pyriforme,32.47576175,-99.75010159,2019,2,20
20545222,Physcomitrium pyriforme,32.41863667,-81.78904667,2019,2,21
20553461,Physcomitrium pyriforme,32.41771333,-81.78893333,2019,2,21
20755448,Physcomitrium,40.06600012,-88.20793795,2019,2,25
20761818,Physcomitrium pyriforme,35.95011887,-84.00544248,2019,2,25
20766490,Physcomitrium pyriforme,30.83720556,-97.30523056,2019,2,25
20780488,Physcomitrium pyriforme,32.05274246,-86.21823006,2019,2,26
20793634,Physcomitrium pyriforme,35.81079073,-78.70521382,2019,2,26
20808199,Physcomitrium pyriforme,33.11826,-80.116936,2019,2,27
20898790,Physcomitrium pyriforme,36.05324173,-94.22556305,2019,3,2
21064459,Physcomitrium pyriforme,30.6938651,-96.2017103,2019,3,8
21067559,Physcomitrium pyriforme,31.59255333,-89.199495,2019,3,8
21119176,Physcomitrium pyriforme,35.77672195,-78.90518951,2019,3,10
21122664,Physcomitrium pyriforme,34.15943143,-80.89440096,2019,3,10
21132329,Physcomitrium pyriforme,32.90776825,-97.11961365,2019,3,10
21147566,Physcomitrium,31.35048111,-89.36791624,2019,3,11
21157354,Physcomitrium pyriforme,37.38006738,-76.6821091,2019,3,11
21165708,Physcomitrium pyriforme,37.2674834,-76.87435698,2019,3,10
21229886,Physcomitrium,37.24513636,-76.78846543,2019,3,14
21240039,Physcomitrium pyriforme,32.90593131,-97.11491855,2019,3,10
21262866,Physcomitrium pyriforme,35.72008133,-78.85606384,2019,3,14
21266048,Physcomitrium pyriforme,30.34797154,-90.0563792,2019,3,15
21288258,Physcomitrium pyriforme,34.74280868,-79.48737146,2019,2,27
21288709,Physcomitrium pyriforme,35.84108111,-78.79386993,2019,3,11
21333123,Physcomitrium pyriforme,36.02717819,-95.9659355,2019,3,17
21333788,Physcomitrium pyriforme,35.62459833,-78.93326167,2019,3,17
21369699,Physcomitrium pyriforme,37.24276,-76.76556,2019,3,15
21369841,Physcomitrium pyriforme,37.24522,-76.79025,2019,3,15
21370516,Physcomitrium pyriforme,37.24519,-76.7855,2019,3,15
21370641,Physcomitrium pyriforme,37.24515,-76.78917,2019,3,15
